('32807846', '27243130'): 0.55
('32807846', '1861629'): 0.55
('32807846', '60303245'): 0.55
('32807846', '33782437'): 0.55
('32807846', '69757518'): 0.55
('32807846', '25789292'): 0.54
('32807846', '85289965'): 0.54
('32807846', '97639441'): 0.54
('32807846', '81570454'): 0.54
('32807846', '1945387'): 0.54
('32807846', '59120809'): 0.54
('32731036', '32807846'): 0.54
('32807846', '21915012'): 0.54
('32807846', '54525057'): 0.54
('32807846', '36361633'): 0.54
('32807846', '69058960'): 0.54
('32807846', '81524756'): 0.54
('54974237', '32807846'): 0.54
('32807846', '21521304'): 0.54
('32807846', '72228247'): 0.54
('32807846', '45112597'): 0.54
('32807846', '84792926'): 0.54
('19870120', '32807846'): 0.54
('32807846', '52687916'): 0.54
('32807846', '36956512'): 0.54
('32807846', '5043010'): 0.54
('32807846', '98431356'): 0.54
('32807846', '38342336'): 0.54
('32807846', '25652259'): 0.54
('34090915', '32807846'): 0.54
('32807846', '64697431'): 0.54
('32807846', '4836680'): 0.54
('32807846', '78610936'): 0.54
('32807846', '92746535'): 0.54
('49238328', '32807846'): 0.54
('32807846', '58400390'): 0.54
('32807846', '75452921'): 0.54
('32807846', '58699500'): 0.54
('32807846', '73642297'): 0.53
('32807846', '95503687'): 0.53
('32807846', '10204849'): 0.53
('32807846', '54498517'): 0.53
('32807846', '38783169'): 0.53
('32807846', '72167543'): 0.53
('32807846', '62480168'): 0.53
('32807846', '83407038'): 0.53
('32807846', '80161395'): 0.53
('32807846', '27821104'): 0.53
('32807846', '33114323'): 0.53
('32807846', '84332527'): 0.53
('32807846', '14536035'): 0.53
('32807846', '14017402'): 0.53
('32807846', '83519853'): 0.53
('32807846', '88722973'): 0.53
('32807846', '99585850'): 0.53
('32807846', '42015635'): 0.53
('32807846', '28031913'): 0.53
('32807846', '22638495'): 0.53
('32807846', '88544390'): 0.53
('32807846', '38916526'): 0.53
('32807846', '97169186'): 0.53
('9839945', '32807846'): 0.53
('32807846', '48770333'): 0.53
('32807846', '24094258'): 0.53
('32807846', '55241609'): 0.53
('32807846', '38694052'): 0.53
('32807846', '19535693'): 0.53
('32807846', '15951532'): 0.53
('32807846', '82112494'): 0.53
('32807846', '90876561'): 0.53
